date,entity_id,entity_name,value
1984,nes,NES,2.28
1985,nes,NES,6.93
1986,nes,NES,15.31
1987,nes,NES,27.41
1988,nes,NES,40.34
1989,nes,NES,50.35
1990,game-boy,Game Boy,3.53
1990,nes,NES,56.36
1991,game-boy,Game Boy,10.11
1991,nes,NES,59.42
1991,snes,SNES,1.61
1992,game-boy,Game Boy,21.48
1992,nes,NES,60.86
1992,snes,SNES,4.76
1993,game-boy,Game Boy,38.61
1993,nes,NES,61.5
1993,snes,SNES,10.31
1994,game-boy,Game Boy,59.83
1994,nes,NES,61.79
1994,snes,SNES,18.57
1995,game-boy,Game Boy,80.53
1995,nes,NES,61.91
1995,ps1,PlayStation,3.77
1995,snes,SNES,28.19
1996,game-boy,Game Boy,96.53
1996,nes,NES,61.91
1996,ps1,PlayStation,11.48
1996,snes,SNES,36.67
1997,game-boy,Game Boy,106.81
1997,n64,Nintendo 64,2.81
1997,nes,NES,61.91
1997,ps1,PlayStation,25.34
1997,snes,SNES,42.5
1998,game-boy,Game Boy,112.66
1998,n64,Nintendo 64,10.71
1998,nes,NES,61.91
1998,ps1,PlayStation,45.38
1998,snes,SNES,45.84
1999,game-boy,Game Boy,115.75
1999,n64,Nintendo 64,22.34
1999,nes,NES,61.91
1999,ps1,PlayStation,66.77
1999,snes,SNES,47.58
2000,game-boy,Game Boy,117.32
2000,n64,Nintendo 64,29.64
2000,nes,NES,61.91
2000,ps1,PlayStation,83.36
2000,snes,SNES,48.42
2001,game-boy,Game Boy,118.11
2001,n64,Nintendo 64,32.11
2001,nes,NES,61.91
2001,ps1,PlayStation,93.3
2001,ps2,PlayStation 2,5.26
2001,snes,SNES,48.82
2002,game-boy,Game Boy,118.5
2002,gba,Game Boy Advance,4.6
2002,n64,Nintendo 64,32.77
2002,nes,NES,61.91
2002,ps1,PlayStation,98.37
2002,ps2,PlayStation 2,15.52
2002,snes,SNES,49.01
2003,game-boy,Game Boy,118.69
2003,gba,Game Boy Advance,15.86
2003,n64,Nintendo 64,32.93
2003,nes,NES,61.91
2003,ps1,PlayStation,100.75
2003,ps2,PlayStation 2,33.6
2003,snes,SNES,49.1
2004,game-boy,Game Boy,118.69
2004,gba,Game Boy Advance,36.09
2004,n64,Nintendo 64,32.93
2004,nes,NES,61.91
2004,ps1,PlayStation,101.81
2004,ps2,PlayStation 2,60.5
