date,entity_id,entity_name,value
1,indo-greek-kingdom,Indo-Greek Kingdom,61875
1,indo-scythian-kingdom,Indo-Scythian Kingdom,2375455
1,kingdom-of-aksum,Kingdom of Aksum,668333
1,kingdom-of-armenia,Kingdom of Armenia,771687
1,northern-xiongnu,Northern Xiongnu,1254167
1,parthian-empire,Parthian Empire,2800000
1,roman-empire,Roman Empire,972222
1,satavahana-dynasty,Satavahana dynasty,303947
1,western-han-dynasty,Western Han dynasty,813559
1,western-xiongnu,Western Xiongnu,3292188
1,xiongnu-empire,Xiongnu Empire,6643491
10,indo-greek-kingdom,Indo-Greek Kingdom,0
10,indo-scythian-kingdom,Indo-Scythian Kingdom,2481818
10,kingdom-of-aksum,Kingdom of Aksum,683333
10,kingdom-of-armenia,Kingdom of Armenia,755422
10,northern-xiongnu,Northern Xiongnu,1291667
10,parthian-empire,Parthian Empire,2686996
10,roman-empire,Roman Empire,1284722
10,satavahana-dynasty,Satavahana dynasty,315789
10,western-xiongnu,Western Xiongnu,3390625
10,xin-dynasty,Xin dynasty,4700000
10,xiongnu-empire,Xiongnu Empire,6523669
100,eastern-han-dynasty,Eastern Han dynasty,6500000
100,indo-scythian-kingdom,Indo-Scythian Kingdom,2052632
100,kingdom-of-aksum,Kingdom of Aksum,833333
100,kingdom-of-armenia,Kingdom of Armenia,592771
100,northern-xiongnu,Northern Xiongnu,1363636
100,parthian-empire,Parthian Empire,1556951
100,roman-empire,Roman Empire,4409722
100,satavahana-dynasty,Satavahana dynasty,434211
100,western-satraps,Western Satraps,500000
100,western-xiongnu,Western Xiongnu,2916667
100,xianbei-state,Xianbei state,294393
100,xiongnu-empire,Xiongnu Empire,5325444
1000,abbasid-caliphate,Abbasid Caliphate,5637402
1000,bulgarian-empire,Bulgarian Empire,42857
1000,buyid-dynasty,Buyid dynasty,1209756
1000,caliphate-of-c-rdoba,Caliphate of Córdoba,600000
1000,fatimid-caliphate,Fatimid Caliphate,3470792
1000,ghaznavid-empire,Ghaznavid Empire,1928358
1000,gurjara-pratihara-dynasty,Gurjara-Pratihara dynasty,204545
1000,holy-roman-empire,Holy Roman Empire,431818
1000,khmer-empire,Khmer Empire,405738
1000,kievan-rus,Kievan Rus',2100000
1000,kingdom-of-france-middle-ages,Kingdom of France (Middle Ages),19772
1000,liao-dynasty,Liao dynasty,1825843
1000,northern-song-dynasty,Northern Song dynasty,2678231
1000,srivijaya,Srivijaya,763636
1001,abbasid-caliphate,Abbasid Caliphate,5615551
1001,bulgarian-empire,Bulgarian Empire,40476
1001,buyid-dynasty,Buyid dynasty,1190244
1001,caliphate-of-c-rdoba,Caliphate of Córdoba,580645
1001,fatimid-caliphate,Fatimid Caliphate,3450495
1001,ghaznavid-empire,Ghaznavid Empire,1979104
1001,gurjara-pratihara-dynasty,Gurjara-Pratihara dynasty,198864
1001,holy-roman-empire,Holy Roman Empire,443182
1001,khmer-empire,Khmer Empire,407787
1001,kievan-rus,Kievan Rus',2091250
1001,kingdom-of-france-middle-ages,Kingdom of France (Middle Ages),21293
1001,liao-dynasty,Liao dynasty,1811236
1001,northern-song-dynasty,Northern Song dynasty,2657143
1001,srivijaya,Srivijaya,765818
1006,abbasid-caliphate,Abbasid Caliphate,5506299
1006,bulgarian-empire,Bulgarian Empire,28571
1006,buyid-dynasty,Buyid dynasty,1092683
1006,caliphate-of-c-rdoba,Caliphate of Córdoba,483871
1006,fatimid-caliphate,Fatimid Caliphate,3349010
1006,ghaznavid-empire,Ghaznavid Empire,2232836
1006,gurjara-pratihara-dynasty,Gurjara-Pratihara dynasty,170455
1006,holy-roman-empire,Holy Roman Empire,500000
1006,khmer-empire,Khmer Empire,418033
1006,kievan-rus,Kievan Rus',2047500
1006,kingdom-of-france-middle-ages,Kingdom of France (Middle Ages),28897
1006,liao-dynasty,Liao dynasty,1738202
1006,northern-song-dynasty,Northern Song dynasty,2551701
1006,srivijaya,Srivijaya,776727
101,eastern-han-dynasty,Eastern Han dynasty,6445833
101,indo-scythian-kingdom,Indo-Scythian Kingdom,2045789
101,kingdom-of-aksum,Kingdom of Aksum,835000
101,kingdom-of-armenia,Kingdom of Armenia,590964
101,northern-xiongnu,Northern Xiongnu,1360227
101,parthian-empire,Parthian Empire,1544395
101,roman-empire,Roman Empire,4444444
101,satavahana-dynasty,Satavahana dynasty,435526
101,western-satraps,Western Satraps,498361
101,western-xiongnu,Western Xiongnu,2909375
101,xianbei-state,Xianbei state,336449
101,xiongnu-empire,Xiongnu Empire,5312130
1011,abbasid-caliphate,Abbasid Caliphate,5397047
1011,bulgarian-empire,Bulgarian Empire,16667
1011,buyid-dynasty,Buyid dynasty,995122
1011,caliphate-of-c-rdoba,Caliphate of Córdoba,387097
1011,fatimid-caliphate,Fatimid Caliphate,3247525
1011,ghaznavid-empire,Ghaznavid Empire,2486567
1011,gurjara-pratihara-dynasty,Gurjara-Pratihara dynasty,142045
1011,holy-roman-empire,Holy Roman Empire,556818
1011,khmer-empire,Khmer Empire,428279
1011,kievan-rus,Kievan Rus',2003750
1011,kingdom-of-france-middle-ages,Kingdom of France (Middle Ages),36502
1011,liao-dynasty,Liao dynasty,1665169
1011,northern-song-dynasty,Northern Song dynasty,2446259
1011,srivijaya,Srivijaya,787636
1016,abbasid-caliphate,Abbasid Caliphate,5287795
1016,bulgarian-empire,Bulgarian Empire,4762
1016,buyid-dynasty,Buyid dynasty,897561
1016,caliphate-of-c-rdoba,Caliphate of Córdoba,290323
1016,fatimid-caliphate,Fatimid Caliphate,3146040
1016,ghaznavid-empire,Ghaznavid Empire,2740299
1016,ghurid-dynasty,Ghurid dynasty,52910
1016,gurjara-pratihara-dynasty,Gurjara-Pratihara dynasty,113636
1016,holy-roman-empire,Holy Roman Empire,613636
1016,khmer-empire,Khmer Empire,438525
1016,kievan-rus,Kievan Rus',1960000
1016,kingdom-of-france-middle-ages,Kingdom of France (Middle Ages),44106
1016,liao-dynasty,Liao dynasty,1592135
1016,northern-song-dynasty,Northern Song dynasty,2340816
1016,srivijaya,Srivijaya,798545
1018,bulgarian-empire,Bulgarian Empire,0
1021,abbasid-caliphate,Abbasid Caliphate,5178543
1021,buyid-dynasty,Buyid dynasty,800000
1021,caliphate-of-c-rdoba,Caliphate of Córdoba,193548
1021,fatimid-caliphate,Fatimid Caliphate,3044554
1021,ghaznavid-empire,Ghaznavid Empire,2994030
1021,ghurid-dynasty,Ghurid dynasty,105820
1021,gurjara-pratihara-dynasty,Gurjara-Pratihara dynasty,85227
1021,holy-roman-empire,Holy Roman Empire,670455
1021,khmer-empire,Khmer Empire,448770
1021,kievan-rus,Kievan Rus',1916250
