date,entity_id,entity_name,value
2010-04,apple,Apple,33.15
2010-04,google,Google,0.18
2010-04,htc,HTC,0.09
2010-04,lg,LG,0.23
2010-04,motorola,Motorola,0.3
2010-04,nintendo,Nintendo,0.3
2010-04,nokia,Nokia,37.58
2010-04,other,Other,0.67
2010-04,rim,RIM,15.86
2010-04,samsung,Samsung,2.37
2010-04,sony,Sony,8.3
2010-04,t-mobile,T-Mobile,0.97
2010-05,apple,Apple,33.09
2010-05,google,Google,0.17
2010-05,htc,HTC,0.03
2010-05,lg,LG,0.08
2010-05,motorola,Motorola,0.12
2010-05,nintendo,Nintendo,0.29
2010-05,nokia,Nokia,37.37
2010-05,other,Other,0.66
2010-05,rim,RIM,16.16
2010-05,samsung,Samsung,3.27
2010-05,sony,Sony,7.96
2010-05,t-mobile,T-Mobile,0.79
2010-06,apple,Apple,30.71
2010-06,google,Google,0.19
2010-06,htc,HTC,0.03
2010-06,lg,LG,0.08
2010-06,motorola,Motorola,0.11
2010-06,nintendo,Nintendo,0.28
2010-06,nokia,Nokia,38.28
2010-06,other,Other,0.66
2010-06,rim,RIM,17.23
2010-06,samsung,Samsung,3.86
2010-06,sony,Sony,7.9
2010-06,t-mobile,T-Mobile,0.66
2010-07,apple,Apple,30.09
2010-07,google,Google,0.21
2010-07,htc,HTC,0.07
2010-07,lg,LG,0.21
2010-07,motorola,Motorola,0.29
2010-07,nintendo,Nintendo,0.28
2010-07,nokia,Nokia,36.78
2010-07,other,Other,0.71
2010-07,rim,RIM,19.04
2010-07,samsung,Samsung,3.83
2010-07,sony,Sony,7.9
2010-07,t-mobile,T-Mobile,0.58
2010-08,apple,Apple,29.82
2010-08,google,Google,0.19
2010-08,htc,HTC,0.07
2010-08,lg,LG,0.22
2010-08,motorola,Motorola,0.35
2010-08,nintendo,Nintendo,0.27
2010-08,nokia,Nokia,36.4
2010-08,other,Other,0.63
2010-08,rim,RIM,19.71
2010-08,samsung,Samsung,4.07
2010-08,sony,Sony,7.81
2010-08,t-mobile,T-Mobile,0.46
2010-09,apple,Apple,26.72
2010-09,google,Google,0.17
2010-09,htc,HTC,0.06
2010-09,lg,LG,0.18
2010-09,motorola,Motorola,0.4
2010-09,nintendo,Nintendo,0.17
2010-09,nokia,Nokia,38.06
2010-09,other,Other,0.51
2010-09,rim,RIM,20.99
2010-09,samsung,Samsung,4.53
2010-09,sony,Sony,7.84
2010-09,t-mobile,T-Mobile,0.35
2010-10,apple,Apple,26.5
2010-10,google,Google,0.16
2010-10,htc,HTC,0.05
2010-10,lg,LG,0.16
2010-10,motorola,Motorola,0.42
2010-10,nintendo,Nintendo,0.15
2010-10,nokia,Nokia,37.81
2010-10,other,Other,0.45
2010-10,rim,RIM,21.51
2010-10,samsung,Samsung,4.68
2010-10,sony,Sony,7.81
2010-10,t-mobile,T-Mobile,0.29
2010-11,apple,Apple,25.72
2010-11,google,Google,0.15
