date,entity_id,entity_name,value
2000,internet-explorer,Internet Explorer,81.53
2000,netscape,Netscape,15.99
2000,opera,Opera,0.13
2001,internet-explorer,Internet Explorer,88.51
2001,netscape,Netscape,7.64
2001,opera,Opera,0.29
2002,internet-explorer,Internet Explorer,93.03
2002,netscape,Netscape,4.81
2002,opera,Opera,0.78
2003,internet-explorer,Internet Explorer,94.31
2003,netscape,Netscape,3.79
2003,opera,Opera,0.66
2004,firefox,Firefox,3.44
2004,internet-explorer,Internet Explorer,93.25
2004,opera,Opera,0.59
2004,safari,Safari,0.72
2005,firefox,Firefox,7.19
2005,internet-explorer,Internet Explorer,89.12
2005,opera,Opera,0.61
2005,safari,Safari,1.35
2006,firefox,Firefox,9.37
2006,internet-explorer,Internet Explorer,86.23
2006,opera,Opera,0.65
2006,safari,Safari,2.09
2007,firefox,Firefox,12.82
2007,internet-explorer,Internet Explorer,82.36
2007,opera,Opera,0.64
2007,safari,Safari,3
2008,chrome,Chrome,0.7
2008,firefox,Firefox,17.21
2008,internet-explorer,Internet Explorer,76.92
2008,opera,Opera,0.83
2008,safari,Safari,3.75
2009,chrome,Chrome,2.99
2009,firefox,Firefox,29.88
2009,internet-explorer,Internet Explorer,59.69
2009,opera,Opera,2.91
2009,safari,Safari,3.34
2010,chrome,Chrome,9.59
2010,firefox,Firefox,30.43
2010,internet-explorer,Internet Explorer,50.34
2010,opera,Opera,2.58
2010,safari,Safari,4.87
2011,chrome,Chrome,19.89
2011,firefox,Firefox,26.42
2011,internet-explorer,Internet Explorer,40.24
2011,opera,Opera,3.09
2011,safari,Safari,6.38
2012,chrome,Chrome,29.31
2012,firefox,Firefox,21.27
2012,internet-explorer,Internet Explorer,29.65
2012,opera,Opera,3.67
2012,safari,Safari,9.04
2013,chrome,Chrome,34.67
2013,firefox,Firefox,16.59
2013,internet-explorer,Internet Explorer,23.15
2013,opera,Opera,3.66
2013,safari,Safari,10.95
2014,chrome,Chrome,38.88
2014,firefox,Firefox,13.2
2014,internet-explorer,Internet Explorer,15.51
2014,opera,Opera,4.01
2014,safari,Safari,13.74
2015,chrome,Chrome,44.93
2015,edge,Edge,0.57
2015,firefox,Firefox,10.47
2015,internet-explorer,Internet Explorer,11.19
2015,opera,Opera,5.03
2015,safari,Safari,13.05
2016,chrome,Chrome,49.12
2016,edge,Edge,1.43
2016,firefox,Firefox,7.96
2016,internet-explorer,Internet Explorer,6.2
2016,opera,Opera,5.47
2016,safari,Safari,13.33
2016,samsung-internet,Samsung Internet,2.59
2017,chrome,Chrome,54.02
2017,edge,Edge,1.86
2017,firefox,Firefox,6.17
2017,internet-explorer,Internet Explorer,3.93
2017,opera,Opera,3.85
2017,safari,Safari,14.51
2017,samsung-internet,Samsung Internet,3.3
2018,chrome,Chrome,59.28
2018,edge,Edge,1.96
2018,firefox,Firefox,5.19
2018,internet-explorer,Internet Explorer,2.99
2018,opera,Opera,3.5
2018,safari,Safari,14.43
2018,samsung-internet,Samsung Internet,2.77
2019,chrome,Chrome,63.34
2019,edge,Edge,2.14
2019,firefox,Firefox,4.57
2019,internet-explorer,Internet Explorer,2.23
2019,opera,Opera,2.57
2019,safari,Safari,15.87
2019,samsung-internet,Samsung Internet,3.45
2020,chrome,Chrome,64.61
2020,edge,Edge,2.85
2020,firefox,Firefox,4.21
2020,internet-explorer,Internet Explorer,1.34
2020,opera,Opera,2
2020,safari,Safari,17.85
2020,samsung-internet,Samsung Internet,3.35
2021,chrome,Chrome,64.46
2021,edge,Edge,3.81
2021,firefox,Firefox,3.62
2021,internet-explorer,Internet Explorer,0.62
2021,opera,Opera,2.24
2021,safari,Safari,18.9
2021,samsung-internet,Samsung Internet,3.11
2022,chrome,Chrome,64.81
2022,edge,Edge,4.28
2022,firefox,Firefox,3.37
2022,internet-explorer,Internet Explorer,0.37
2022,opera,Opera,2.22
2022,safari,Safari,18.92
2022,samsung-internet,Samsung Internet,2.84
2023,chrome,Chrome,63.85
2023,edge,Edge,5.11
2023,firefox,Firefox,2.96
2023,internet-explorer,Internet Explorer,0.2
2023,opera,Opera,2.78
2023,safari,Safari,19.74
2023,samsung-internet,Samsung Internet,2.47
2024,chrome,Chrome,65.81
2024,edge,Edge,5.19
2024,firefox,Firefox,2.79
2024,internet-explorer,Internet Explorer,0.15
2024,opera,Opera,2.29
2024,safari,Safari,18.21
2024,samsung-internet,Samsung Internet,2.49
2025,chrome,Chrome,68.8
2025,edge,Edge,5.02
2025,firefox,Firefox,2.38
2025,internet-explorer,Internet Explorer,0.16
2025,opera,Opera,1.92
2025,safari,Safari,15.98
2025,samsung-internet,Samsung Internet,2.04
2026,chrome,Chrome,68.63
2026,edge,Edge,5.43
2026,firefox,Firefox,2.66
2026,internet-explorer,Internet Explorer,0.02
2026,opera,Opera,1.84
2026,safari,Safari,16.5
2026,samsung-internet,Samsung Internet,2.03
