date,entity_id,entity_name,value
1950,australia,Australia,58000
1950,belarus,Belarus,2400
1950,canada,Canada,387726
1950,france,France,357512
1950,germany,Germany,306064
1950,india,India,14688
1950,italy,Italy,127847
1950,japan,Japan,31597
1950,korea-dem-people-s-rep,North Korea,3000
1950,poland,Poland,1000
1950,russian-federation,Russia,362985
1950,sweden,Sweden,129000
1950,ukraine,Ukraine,18300
1950,united-kingdom,United Kingdom,783672
1950,united-states,United States,8005859
1960,argentina,Argentina,89000
1960,australia,Australia,204000
1960,austria,Austria,13000
1960,belarus,Belarus,18700
1960,belgium,Belgium,1000
1960,brazil,Brazil,133041
1960,canada,Canada,397739
1960,china,China,22574
1960,france,France,1369210
1960,germany,Germany,2056149
1960,hungary,Hungary,3000
1960,india,India,51136
1960,italy,Italy,644633
1960,japan,Japan,481551
1960,mexico,Mexico,533041
1960,netherlands,Netherlands,19000
1960,new-zealand,New Zealand,9731
1960,poland,Poland,37000
1960,romania,Romania,12000
1960,russian-federation,Russia,523591
1960,spain,Spain,58209
1960,sweden,Sweden,311000
1960,ukraine,Ukraine,7500
1960,united-kingdom,United Kingdom,1810700
1960,united-states,United States,7905119
1970,argentina,Argentina,219599
1970,australia,Australia,475000
1970,austria,Austria,7000
1970,belarus,Belarus,29800
1970,belgium,Belgium,296000
1970,brazil,Brazil,416089
1970,canada,Canada,1159504
1970,china,China,87166
1970,france,France,2750086
1970,germany,Germany,3842247
1970,greece,Greece,2200
1970,india,India,76409
1970,iran-islamic-rep,Iran,25000
1970,italy,Italy,1854252
1970,japan,Japan,5289157
1970,korea-rep,South Korea,28819
1970,mexico,Mexico,916089
1970,netherlands,Netherlands,79000
1970,new-zealand,New Zealand,32409
1970,poland,Poland,113087
1970,romania,Romania,59000
1970,russian-federation,Russia,916118
1970,south-africa,South Africa,297573
1970,spain,Spain,539132
1970,sweden,Sweden,317000
1970,thailand,Thailand,22055
1970,turkiye,Turkey,35000
1970,ukraine,Ukraine,115700
1970,united-kingdom,United Kingdom,2098498
1970,united-states,United States,8283949
1980,argentina,Argentina,281793
1980,australia,Australia,361000
1980,austria,Austria,14000
1980,belarus,Belarus,40100
1980,belgium,Belgium,923426
1980,brazil,Brazil,1165174
1980,bulgaria,Bulgaria,12000
1980,canada,Canada,1369607
1980,china,China,222288
1980,france,France,3378433
1980,germany,Germany,3878553
1980,greece,Greece,18187
1980,india,India,113917
1980,indonesia,Indonesia,103000
1980,iran-islamic-rep,Iran,50881
1980,italy,Italy,1610287
1980,japan,Japan,11042884
1980,korea-rep,South Korea,123135
1980,malaysia,Malaysia,104227
1980,mexico,Mexico,1565174
1980,netherlands,Netherlands,97000
1980,new-zealand,New Zealand,55178
1980,poland,Poland,237834
1980,portugal,Portugal,91000
1980,romania,Romania,124000
